City Name,Country,Longitude,Latitude,Temperature,Humidity,Wind Speed,Cloudiness,Date
mizdah,LY,12.98,31.45,58.08,72,11.39,0,1603231359
namatanai,PG,152.43,-3.67,82.63,72,2.66,39,1603231359
ghanzi,BW,21.78,-21.57,79.09,17,11.72,30,1603231344
tumut,AU,148.22,-35.3,61.81,72,2.01,100,1603231359
san andres,CO,-81.7,12.58,80.6,83,3.36,90,1603231360
bilibino,RU,166.44,68.05,18.79,94,2.04,76,1603231222
kushmurun,KZ,64.63,52.45,48.87,55,4.14,93,1603231360
port-cartier,CA,-66.87,50.03,41.0,86,12.75,75,1603231360
teshie,GH,-0.11,5.58,78.8,88,9.17,20,1603231360
ust-kuyga,RU,135.6,70.02,10.53,94,6.67,100,1603231295
palmas,BR,-48.36,-10.21,93.2,41,2.24,20,1603231277
bloemhof,ZA,25.61,-27.65,61.18,32,8.52,0,1603231360
naze,JP,129.48,28.37,77.0,83,17.22,75,1603230992
mechetinskaya,RU,40.46,46.77,47.05,63,6.06,30,1603231361
lasa,IT,10.7,46.62,50.0,93,3.36,75,1603231262
shellbrook,CA,-106.4,53.22,28.4,63,5.82,90,1603231177
bacolod,PH,122.95,10.67,77.85,85,10.65,89,1603231361
nishihara,JP,127.76,26.18,80.6,69,18.34,90,1603231316
damietta,EG,31.81,31.42,78.8,83,16.11,20,1603231361
umm kaddadah,SD,26.69,13.6,86.49,12,14.29,0,1603231361
san quintin,MX,-115.95,30.48,72.99,70,15.75,1,1603231361
whitianga,NZ,175.7,-36.83,64.89,66,6.76,100,1603231362
marienburg,PL,19.03,54.04,48.99,100,12.19,100,1603231141
uturoa,PF,-151.43,-16.73,79.47,78,15.86,55,1603231362
edd,ER,41.69,13.93,84.38,67,3.67,0,1603231362
ihosy,MG,46.12,-22.4,63.46,82,7.94,25,1603231351
attingal,IN,76.83,8.68,78.8,88,6.02,75,1603231363
banda aceh,ID,95.32,5.56,80.26,74,9.69,81,1603231363
neftcala,AZ,49.25,39.37,63.32,76,17.65,83,1603231147
farah,AF,62.5,32.5,44.29,46,3.18,0,1603231363
olafsvik,IS,-23.71,64.89,42.48,86,14.25,100,1603231015
khani,GE,42.96,41.96,59.0,93,2.24,79,1603231363
manggar,ID,108.27,-2.88,79.74,81,0.63,78,1603231364
sulphur springs,US,-95.6,33.14,87.01,45,9.17,40,1603231364
fairbanks,US,-147.72,64.84,21.2,85,2.24,90,1603231200
saint-francois,FR,3.91,46.42,63.0,59,17.22,100,1603231307
rawson,AR,-65.1,-43.3,53.06,54,18.97,85,1603231364
nuoro,IT,9.33,40.32,59.0,82,11.41,40,1603231364
christchurch,NZ,172.63,-43.53,60.01,58,5.82,70,1603231333
kununurra,AU,128.73,-15.77,78.8,94,3.36,0,1603231257
svetlyy,RU,20.13,54.67,46.4,87,6.71,100,1603231364
kuito,AO,16.93,-12.38,66.11,52,7.85,0,1603231364
navolato,MX,-107.69,24.77,98.01,71,11.01,0,1603231365
south valley,US,-106.68,35.01,82.99,10,4.7,40,1603231301
bratsk,RU,101.61,56.13,28.4,92,6.71,97,1603231365
superior,US,-92.1,46.72,32.0,95,8.23,90,1603231365
nikel,RU,30.22,69.41,30.2,100,6.93,75,1603231365
santa rosa,PH,121.11,14.31,78.8,88,3.36,90,1603231317
kutum,SD,24.67,14.2,75.4,18,9.66,0,1603231328
ranong,TH,98.63,9.97,77.54,82,1.68,93,1603231365
borlesti,RO,26.48,46.77,41.0,86,3.36,0,1603231365
gamba,GA,10.0,-2.65,76.35,89,7.29,100,1603231365
dali,CN,100.18,25.7,56.08,90,4.85,100,1603231366
lalmohan,BD,90.74,22.34,81.66,81,15.7,94,1603231366
zemio,CF,25.14,5.03,71.2,94,2.35,100,1603231366
hobyo,SO,48.53,5.35,80.04,81,18.43,0,1603231322
launceston,AU,147.17,-41.45,55.99,71,8.05,100,1603231366
astoria,US,-123.83,46.19,57.99,87,8.05,90,1603231321
bubaque,GW,-15.83,11.28,82.4,80,13.73,3,1603231308
pagadian,PH,123.44,7.83,77.04,87,1.9,100,1603231366
mansa,IN,75.38,29.98,67.35,24,4.41,0,1603231367
tual,ID,132.75,-5.67,78.49,88,16.87,100,1603231263
tomatlan,MX,-105.25,19.93,83.64,75,7.92,84,1603231338
dera ismail khan,PK,70.9,31.83,65.48,26,1.88,0,1603231367
yaan,NG,8.57,7.38,76.08,91,5.55,85,1603231367
kankaanpaa,FI,22.42,61.8,33.8,80,11.41,75,1603231367
maine-soroa,NE,12.02,13.21,87.82,13,6.78,0,1603231368
niny,RU,43.95,44.49,54.32,63,5.91,68,1603231368
ankazobe,MG,47.12,-18.32,60.8,87,5.82,20,1603231368
martil,MA,-5.28,35.62,71.6,78,26.4,75,1603231368
balgazyn,RU,95.2,51.0,27.73,89,1.66,96,1603231369
twin falls,US,-114.64,42.35,61.0,41,13.87,1,1603231244
carutapera,BR,-46.02,-1.2,79.61,77,8.28,15,1603231142
butembo,CD,29.28,0.15,58.28,94,2.62,93,1603231369
grindavik,IS,-22.43,63.84,35.6,71,4.7,90,1603231316
camacha,PT,-16.33,33.08,68.0,68,18.34,40,1603231369
banepa,NP,85.52,27.63,62.6,88,2.24,20,1603231369
stokmarknes,NO,14.91,68.56,37.0,63,5.99,79,1603231247
hamilton,US,-84.53,39.18,55.4,93,2.82,90,1603231369
benton harbor,US,-86.45,42.12,54.0,58,10.29,1,1603231203
abha,SA,42.51,18.22,60.8,19,6.93,0,1603231369
saint-augustin,CA,-58.65,51.23,44.91,94,8.08,100,1603231181
akdepe,TM,59.38,42.06,51.8,36,6.93,0,1603231337
port lincoln,AU,135.87,-34.73,59.0,80,12.39,13,1603231260
kyzyl-suu,KG,78.01,42.34,46.4,38,7.2,0,1603231370
conceicao do araguaia,BR,-49.26,-8.26,86.18,45,3.06,63,1603231370
pyinmana,MM,96.22,19.73,71.08,93,1.5,75,1603231370
awbari,LY,12.78,26.59,71.22,46,9.48,64,1603231167
bafq,IR,55.41,31.61,51.31,36,0.89,0,1603231370
morristown,US,-83.29,36.21,75.0,60,4.7,1,1603231370
korla,CN,86.15,41.76,46.08,50,3.89,0,1603231371
coihaique,CL,-72.07,-45.58,59.0,38,10.29,66,1603231210
villanueva,HN,-88.0,15.32,89.6,59,9.17,40,1603231371
sal rei,CV,-22.92,16.18,80.6,83,13.87,33,1603231371
baykit,RU,96.37,61.67,22.15,95,1.32,95,1603231274
dwarka,IN,68.97,22.24,83.68,78,10.07,0,1603231371
jinsha,CN,121.07,32.09,64.0,95,1.66,100,1603231371
chelbasskaya,RU,39.37,45.98,50.0,59,5.75,0,1603231371
huarmey,PE,-78.15,-10.07,67.17,72,8.66,41,1603231236
tessalit,ML,1.01,20.2,84.25,14,9.73,0,1603231300
beboto,TD,16.94,8.27,75.94,64,1.95,21,1603231372
batagay-alyta,RU,130.41,67.8,9.84,88,0.94,86,1603231372
opuwo,NA,13.84,-18.06,65.03,35,5.12,0,1603231372
garden city,US,-83.33,42.33,54.0,62,8.05,75,1603231372
zyryanovsk,KZ,84.27,49.74,32.92,79,0.56,43,1603231372
kattivakkam,IN,80.32,13.22,78.8,100,4.7,75,1603231372
mandurah,AU,115.7,-32.55,60.01,82,5.82,40,1603231079
tabou,CI,-7.35,4.42,77.32,83,7.45,78,1603231266
sakaiminato,JP,133.23,35.55,51.8,93,3.36,20,1603231373
zhuhai,CN,113.57,22.28,71.6,68,19.46,20,1603231373
elizabeth city,US,-76.25,36.29,75.99,78,6.8,85,1603231093
nago,JP,127.98,26.59,78.8,74,14.99,20,1603231307
bartoszyce,PL,20.81,54.25,48.81,77,13.04,100,1603231144
kirksville,US,-92.58,40.19,46.99,100,6.93,90,1603231310
aztec,US,-107.99,36.82,75.99,10,11.41,1,1603231185
port hawkesbury,CA,-61.35,45.62,64.4,88,5.82,90,1603231262
egvekinot,RU,-179.17,66.32,34.12,100,7.05,100,1603231260
dalvik,IS,-18.53,65.97,24.8,92,3.36,37,1603231373
ende,ID,121.66,-8.84,78.06,72,1.12,95,1603231373
talaya,RU,152.75,61.38,15.46,90,0.43,13,1603231374
dharchula,IN,80.53,29.85,55.94,47,3.74,0,1603231374
bowling green,US,-86.44,36.99,77.0,61,10.29,75,1603231374
puerto leguizamo,CO,-74.78,-0.19,80.8,80,2.39,100,1603231374
agirish,RU,63.02,61.92,26.98,99,4.21,47,1603231374
paranaiba,BR,-51.19,-19.68,75.56,79,4.34,100,1603231240
meulaboh,ID,96.13,4.14,76.33,86,4.47,45,1603231210
sorong,ID,131.25,-0.88,77.23,85,6.38,38,1603231327
gushikawa,JP,127.87,26.35,80.6,74,14.99,20,1603231346
shubarkuduk,KZ,56.49,49.14,40.55,71,9.19,2,1603231374
koslan,RU,48.9,63.46,24.66,98,1.12,68,1603231374
anloga,GH,0.9,5.79,80.6,88,9.17,20,1603231375
dabakala,CI,-4.43,8.37,74.53,88,2.37,16,1603231375
anadyr,RU,177.48,64.75,42.8,81,13.42,40,1603231000
bouna,CI,-3.0,9.27,75.52,80,1.86,74,1603231375
general pico,AR,-63.76,-35.66,61.5,40,13.78,9,1603231375
tugaya,PH,124.17,7.88,69.33,92,4.92,100,1603231375
progreso,MX,-89.67,21.28,86.0,70,6.93,40,1603231209
igbon,PH,123.17,11.21,79.03,83,15.21,86,1603231375
cruzeiro do sul,BR,-51.99,-29.51,73.0,78,7.61,20,1603231246
halifax,CA,-63.57,44.65,62.01,95,9.57,97,1603231261
san isidro,PE,-77.05,-12.12,68.0,68,6.93,47,1603231376
kholtoson,RU,103.31,50.3,21.42,80,2.35,72,1603231376
hinton,CA,-117.59,53.4,38.43,70,7.99,56,1603231376
